Day,Item,Meal,Food,Portion,Unit
1,1,Breakfast,Ripe Papaya,1,"slice (10x6x2"")"
1,2,Breakfast,Fired Egg,1,piece
1,3,Breakfast,Bisugo Daing,0.5,piece (15½x8)
1,4,Breakfast,Rice,1,cup
1,5,Breakfast,Whole Milk,1,cup (4T powder in 1c water
1,1,Lunch,Paksiw Na Galunggong,1.25,"piece (med, 14x3½)"
1,2,Lunch,Munggo Gisado w/ malunggay leaves,1.25,cup
1,3,Lunch,Rice,1,cup
1,4,Lunch,Latundan,1,piece (9x3)
1,1,Dinner,Breaded Pork,1.25,slice (9½x6x0.25)
1,2,Dinner,Pinakbet,1.25,cup
1,3,Dinner,Rice,1,cup
1,4,Dinner,Latundan,1,piece (9x3)
1,1,Snacks,Taho,1,cup
1,2,Snacks,Boiled Camote,1,piece (11cm long x 4½cm diameter)
1,3,Snacks,Fruit Juice,1,glass
2,1,Breakfast,Ripe Mango,1,slice (12x7)
2,2,Breakfast,Fried Hotdog,4,piece (cocktails)
2,3,Breakfast,Oatmeal,1.25,cup (thick consistency w/ Powdered Milk
2,4,Breakfast,Coffee,2,cup (optional)
2,1,Lunch,Chicken Adobo,1.25,"piece (leg, small)"
2,2,Lunch,Chopsuey,1,cup
2,3,Lunch,Rice,1,cup
2,4,Lunch,Sweetened White Kidney Beans,0.25,cup
2,1,Dinner,Fried Tilapia,1.25,piece (12x5)
2,2,Dinner,Laing,0.5,cup
2,3,Dinner,Rice,1,cup
2,4,Dinner,Lakatan,1,piece (9x3)
2,1,Snacks,Puto Puti,2,slice (9½x3x3¼)
2,2,Snacks,Pan Americano,4,slice (9x8x1)
2,3,Snacks,Margarine,0.5,teaspoon 
2,4,Snacks,Whole Milk,2,cup
3,1,Breakfast,Melon,1,cup
3,2,Breakfast,Scrambled Egg,1,piece
3,3,Breakfast,Pandesal,7,piece (small)
3,4,Breakfast,Margarine,1,teaspoon 
3,5,Breakfast,Whole Milk,1,cup
3,1,Lunch,Pork Sinigang,1.25,slice (5x3¼x1½ mbs)
3,2,Lunch,Vegetables and Gabi,1,cup
3,3,Lunch,Rice,1,cup
3,4,Lunch,Ripe Langka,3,segments
3,1,Dinner,Fried Daing Na Bangus,1.25,slice (7x3x2)
3,2,Dinner,Pechay Gisado w/ Tokwa,1,cup
3,3,Dinner,Rice,4,cup
3,1,Snacks,Palitaw ,0.5,piece (8x5x0.7)
3,2,Snacks,Calamansi Juice,1,glass
3,3,Snacks,Pasencia Cookies,30,piece (3cm diameter)
4,1,Breakfast,Latundan,1,piece (small)
4,2,Breakfast,Satueed Sardines,2.5,piece (10x4½)
4,3,Breakfast,Rice,1,cup
4,4,Breakfast,Whole Milk,1,cup
4,1,Lunch,Chicken Tinola,1.25,"piece (leg, small)"
4,2,Lunch,Vegetables,1,cup
4,3,Lunch,Rice,1,cup
